Gene,T1_fc,T1_padj,T2_fc,T2_padj,T3_fc,T3_padj,arabi-defline
Bradi0012s00100,1.098928861,0.890626694,-1.453291525,0.76388073,-0.32647715,0.942383493,GTP binding Elongation factor Tu family protein
Bradi0012s00201,0.274110551,NA,-0.173951394,0.983269531,0.395426573,0.66858441,NA
Bradi0014s00100,NA,NA,2.365374143,NA,2.033028695,0.652961563,NB-ARC domain-containing disease resistance protein
Bradi0135s00100,NA,NA,NA,NA,NA,NA,Pectin lyase-like superfamily protein
Bradi0180s00100,NA,NA,NA,NA,NA,NA,Pectin lyase-like superfamily protein
Bradi1g00200,NA,NA,1.94547937,NA,0.998248336,NA,glutathione S-transferase TAU 18
Bradi1g00210,-0.254923178,NA,-0.365385914,NA,0.522962746,NA,transducin family protein / WD-40 repeat family protein
Bradi1g00213,-2.400778415,NA,-1.248014119,NA,1.090434399,NA,NA
Bradi1g00215,-25.79983286,3.29E-05,-2.296957398,NA,2.75233042,NA,nucleotide binding;nucleic acid binding
Bradi1g00217,1.013306587,NA,-0.505391879,NA,0.793951722,NA,NA
Bradi1g00219,0.059445934,NA,0.407462709,0.963830351,-0.822352449,NA,SCARECROW-like 14
Bradi1g00222,0.312658129,NA,0.138043562,0.990441916,0.03782343,0.98606175,NA
Bradi1g00234,-1.85910646,NA,-1.518363554,0.866378365,1.396060725,NA,NB-ARC domain-containing disease resistance protein
Bradi1g00247,0.51567169,NA,-0.600378949,0.904187787,-0.568235937,0.613572486,selenium binding
Bradi1g00253,-0.189976018,NA,-2.723616091,NA,0.279164464,NA,NA
Bradi1g00260,0.663686411,0.890626694,0.403953272,0.932362976,-0.221141761,0.663024604,Leucine-rich repeat transmembrane protein kinase protein
Bradi1g00266,0.385300419,NA,0.236745695,0.984166416,-0.029805827,0.975171901,cysteine-rich RLK (RECEPTOR-like protein kinase) 26
Bradi1g00272,NA,NA,-1.712637417,NA,-1.10058182,NA,MATE efflux family protein
Bradi1g00278,-0.204320773,NA,-0.855831078,0.948595308,1.152418975,NA,NB-ARC domain-containing disease resistance protein
Bradi1g00284,0.583435436,NA,0.099744448,0.987045945,0.446108775,0.343732519,LRR and NB-ARC domains-containing disease resistance protein
Bradi1g00287,-0.08133992,NA,0.080555219,NA,-0.651001071,NA,NA
Bradi1g00291,0.866084973,NA,-0.487871577,0.962725578,1.013496081,NA,NA
Bradi1g00300,-3.199633489,NA,-1.114133392,NA,3.985152116,NA,phospholipase A 2A
Bradi1g00322,NA,NA,-3.78956813,NA,1.947397313,NA,NA
Bradi1g00330,0.51253501,NA,-1.65087885,NA,0.058301672,NA,NA
Bradi1g00332,1.022493897,NA,-2.053547271,NA,-0.152826201,NA,NA
Bradi1g00335,-0.82247591,NA,-1.00590492,NA,-0.064260587,NA,NA
Bradi1g00341,1.790595282,NA,-1.99915598,0.002744595,-0.339425997,0.7471093,NA
Bradi1g00345,2.084377707,NA,-3.162757646,0.078806848,0.766665646,NA,NA
Bradi1g00350,2.848707923,NA,-4.144215657,NA,-1.263916926,NA,RNA polymerase II large subunit
Bradi1g00360,0.11885495,NA,-2.593788518,NA,-0.694840078,NA,RNA polymerase II large subunit
Bradi1g00361,-0.806120517,NA,-2.503111102,NA,2.746015895,NA,NA
Bradi1g00362,1.20051754,NA,-2.499341956,NA,0.016767455,0.993840052,NA
Bradi1g00364,2.088390095,NA,-2.026374498,0.227111594,0.837565782,0.341416794,NA
Bradi1g00365,NA,NA,-0.088043513,NA,0.589540941,NA,NA
Bradi1g00366,NA,NA,-1.614436073,NA,0.07216739,NA,NA
Bradi1g00368,NA,NA,-1.241246,NA,-0.969836855,NA,DNA binding
Bradi1g00370,1.842599773,0.890626694,-1.862770019,0.056958308,0.200015874,0.718412604,NA
Bradi1g00381,0.191491557,NA,-1.497259644,NA,2.820152955,NA,Pentatricopeptide repeat (PPR) superfamily protein
Bradi1g00385,-0.806120517,NA,-3.518191398,NA,-0.910994578,NA,NA
Bradi1g00390,-12.18452567,0.368248471,-2.414098558,NA,1.642049547,NA,Protein kinase family protein with ARM repeat domain
Bradi1g00400,NA,NA,0.981692531,NA,1.161219124,NA,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"
Bradi1g00405,NA,NA,NA,NA,NA,NA,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bradi1g00410,1.144805686,NA,-1.754063593,0.133320209,0.549853951,0.267564989,NA
Bradi1g00412,-0.806749564,NA,-0.254442445,NA,0.867880883,NA,NA
Bradi1g00413,NA,NA,0.954736695,NA,0.971353638,NA,NA
