Gene,T1_fc,T1_padj,T2_fc,T2_padj,T3_fc,T3_padj,arabi-defline
Sevir.1G000100,0.164775857,0.97825268,0.213536187,0.115310755,0.038021562,0.999694537,NA
Sevir.1G000200,1.149019427,0.958618859,0.011653945,0.992597903,0.176101539,0.999694537,RING/U-box superfamily protein
Sevir.1G000300,-0.012059873,0.997921898,-0.243738021,0.105771719,-0.027101678,0.999694537,PDI-like 1-4
Sevir.1G000400,0.47519114,0.958618859,0.240140547,0.086617433,-0.029131805,0.999694537,HSP70-interacting protein 1
Sevir.1G000501,1.146536517,0.958618859,-0.505040331,0.460954832,-0.145364017,0.999694537,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Sevir.1G000600,1.676046743,0.958618859,0.359779098,0.608172587,0.352390544,0.999694537,leucoanthocyanidin dioxygenase
Sevir.1G000650,0.30764457,0.972976893,-0.129787311,0.89967399,0.196079397,0.999694537,NA
Sevir.1G000700,NA,NA,NA,NA,NA,NA,C2H2 and C2HC zinc fingers superfamily protein
Sevir.1G000900,-2.799999347,NA,-0.826079138,NA,0.071025668,0.999694537,NA
Sevir.1G001000,0.922374845,0.958618859,0.570500154,1.88E-06,0.045793556,0.999694537,Transmembrane amino acid transporter family protein
Sevir.1G001100,-7.015671768,0.157186838,-1.83379074,0.114044079,0.930183187,0.999694537,GDSL-like Lipase/Acylhydrolase superfamily protein
Sevir.1G001200,1.541226082,0.958618859,0.277387691,0.013111157,-0.031325356,0.999694537,hydroxypyruvate reductase
Sevir.1G001300,-1.799422526,0.958618859,0.099422638,0.751000746,-0.127371638,0.999694537,E3 ubiquitin ligase SCF complex subunit SKP1/ASK1 family protein
Sevir.1G001400,0.869384415,0.958618859,0.075119496,0.697486279,0.033121264,0.999694537,HEAT repeat ;HECT-domain (ubiquitin-transferase)
Sevir.1G001500,1.402352994,0.958618859,-0.060303724,0.905302617,-0.004821174,0.999694537,ATP binding microtubule motor family protein
Sevir.1G001600,NA,NA,-0.826079138,NA,2.219809543,0.999694537,Pollen Ole e 1 allergen and extensin family protein
Sevir.1G001700,-0.223176504,NA,0.246362359,NA,-0.107368703,0.999694537,Glutaredoxin family protein
Sevir.1G001800,1.216373857,0.958618859,0.179871516,0.230701794,-0.66181525,0.999694537,sulfurtransferase 18
Sevir.1G001900,0.428304288,0.962784508,-0.364525543,0.4989253,-0.306596012,0.999694537,sulfurtransferase 18
Sevir.1G002000,0.111936749,0.987090447,-0.136721764,0.634660814,0.032220969,0.999694537,Ribosomal protein S5 family protein
Sevir.1G002100,0.832580182,0.958618859,0.146317348,0.646091715,-0.14802901,0.999694537,Ankyrin repeat family protein
Sevir.1G002200,-1.734310305,0.958618859,-0.22263642,0.52898209,0.001523906,0.999694537,Small nuclear ribonucleoprotein family protein
Sevir.1G002300,-8.205674971,0.216452156,NA,NA,NA,NA,ENHANCED DISEASE RESISTANCE 2
Sevir.1G002400,0.349229645,0.962568931,-0.108495336,0.67409639,-0.129645167,0.999694537,TCP-1/cpn60 chaperonin family protein
Sevir.1G002500,0.588398389,0.958618859,0.213191447,0.176019727,0.000968939,0.999694537,extra-large GTP-binding protein 3
Sevir.1G002600,-0.736172152,0.958618859,0.131568145,0.552073425,0.122592732,0.999694537,nuclear RNA polymerase C2
Sevir.1G002700,NA,NA,NA,NA,NA,NA,Plant invertase/pectin methylesterase inhibitor superfamily protein
Sevir.1G002800,1.093091238,NA,-1.006070576,NA,-1.66410031,0.999694537,Plant invertase/pectin methylesterase inhibitor superfamily protein
Sevir.1G002900,-2.556477946,NA,0.659018799,NA,-0.206470558,0.999694537,nodulin MtN21 /EamA-like transporter family protein
Sevir.1G003000,-1.253977679,0.958618859,-0.33492812,0.150880806,-0.16283312,0.999694537,Ribosomal protein L6 family
Sevir.1G003100,-0.847345039,0.958618859,0.10257248,0.519111582,-0.311265708,0.999694537,ferredoxin-NADP(+)-oxidoreductase 1
Sevir.1G003200,-0.488040693,0.960987221,-0.156562303,0.897216694,0.410272388,0.999694537,nodulin MtN21 /EamA-like transporter family protein
Sevir.1G003300,NA,NA,-0.826079138,NA,2.63120737,0.999694537,nodulin MtN21 /EamA-like transporter family protein
Sevir.1G003401,0.87367537,0.958618859,0.601619806,0.247705999,0.261742909,0.999694537,AGAMOUS-like 20
Sevir.1G003500,0.341427197,0.959559788,0.097492961,0.836228827,-0.044816384,0.999694537,conserved peptide upstream open reading frame 12
Sevir.1G003550,0.651675015,0.958618859,0.188269163,0.391014364,0.092129032,0.999694537,NA
Sevir.1G003600,-0.560994588,0.958618859,-0.031726648,0.965160753,0.343552296,0.999694537,Duplicated homeodomain-like superfamily protein
Sevir.1G003700,-1.397335031,NA,0.222017959,NA,-1.116351451,0.999694537,NA
Sevir.1G003900,1.290392232,0.958618859,0.308916303,0.011097464,-0.089496123,0.999694537,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Sevir.1G004000,-0.993361474,0.958618859,-0.127494367,0.724411787,-0.068413437,0.999694537,Uncharacterised conserved protein UCP022280
Sevir.1G004100,0.971332931,0.958618859,0.273563693,0.519949806,0.299751983,0.999694537,RNA-binding (RRM/RBD/RNP motifs) family protein
Sevir.1G004200,0.721464539,0.958618859,-0.008034687,0.979637911,-0.075787916,0.999694537,RGPR-related
Sevir.1G004300,0.210601847,0.971802992,0.066026446,0.794455617,-0.066351187,0.999694537,"Dihydrolipoamide acetyltransferase, long form protein"
Sevir.1G004400,0.193341519,0.985482418,-0.308672719,0.487407243,-0.145212723,0.999694537,Lactate/malate dehydrogenase family protein
Sevir.1G004500,-2.903850293,NA,-1.368338514,NA,-0.414757288,0.999694537,Lactate/malate dehydrogenase family protein
Sevir.1G004600,0.030787762,0.996263401,0.227890903,0.281771253,-0.02117989,0.999694537,BCL-2-associated athanogene 7
Sevir.1G004700,-0.106399847,0.989042537,0.290898177,0.424680406,-0.718702863,0.999694537,Glycosyl hydrolases family 32 protein
Sevir.1G004800,-0.431349789,NA,0.477337562,0.676139424,-0.163590732,0.999694537,Concanavalin A-like lectin protein kinase family protein
Sevir.1G004900,0.132117411,NA,1.095293578,NA,-0.451851934,0.999694537,Concanavalin A-like lectin protein kinase family protein
Sevir.1G005000,NA,NA,1.097474214,NA,-1.037024366,0.999694537,NA
Sevir.1G005100,NA,NA,-1.599085,NA,-0.076968888,0.999694537,NA
Sevir.1G005200,NA,NA,NA,NA,-1.037024366,0.999694537,pentatricopeptide (PPR) repeat-containing protein
Sevir.1G005300,-2.150618793,NA,0.348446235,NA,0.17437916,0.999694537,RING/U-box superfamily protein
Sevir.1G005400,0.434151425,NA,-0.218884538,0.883510797,-0.526951602,0.999694537,RING/U-box superfamily protein
Sevir.1G005500,0.999077351,0.958618859,0.033471843,0.936640623,-0.018472915,0.999694537,NA
Sevir.1G005600,1.238072969,0.958618859,0.23143154,0.444584888,0.076632896,0.999694537,"Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2"
Sevir.1G005700,0.380217671,0.958618859,0.113816808,0.698172074,0.094282505,0.999694537,TMPIT-like protein
Sevir.1G005800,0.719023657,0.958618859,-0.331765185,0.527274245,0.021999359,0.999694537,Protein kinase superfamily protein
Sevir.1G005900,0.372061173,0.958618859,0.202051751,0.059909799,-0.087995624,0.999694537,"U5 small nuclear ribonucleoprotein helicase, putative"
Sevir.1G006000,-3.487412678,0.406181667,0.062343483,0.934511511,0.215986452,0.999694537,NA
Sevir.1G006100,NA,NA,3.079207311,NA,NA,NA,Cytochrome P450 superfamily protein
Sevir.1G006200,2.020515193,0.958618859,-1.103172408,1.57E-05,-0.074978599,0.999694537,from the Czech \'roh\' meaning \'corner\'
Sevir.1G006300,1.159076397,0.958618859,0.192925902,0.22670964,0.045409765,0.999694537,transcription factor jumonji (jmjC) domain-containing protein
Sevir.1G006400,-0.193646672,0.972346413,-0.051812496,0.876194688,-0.19233965,0.999694537,Tetratricopeptide repeat (TPR)-like superfamily protein
Sevir.1G006500,1.019508702,0.958618859,-0.464332134,0.007204083,0.031163078,0.999694537,NB-ARC domain-containing disease resistance protein
Sevir.1G006600,1.805348072,0.958618859,0.272613335,0.258488279,0.376063066,0.999694537,NA
Sevir.1G006700,NA,NA,NA,NA,NA,NA,NA
Sevir.1G006800,NA,NA,NA,NA,NA,NA,NA
Sevir.1G006900,-2.799999347,NA,NA,NA,1.847668553,0.999694537,B-box type zinc finger protein with CCT domain
Sevir.1G007000,NA,NA,NA,NA,NA,NA,B-box type zinc finger protein with CCT domain
Sevir.1G007100,1.111461229,0.958618859,-0.533756977,0.000216154,-0.819423293,0.202963373,hydroperoxide lyase 1
Sevir.1G007200,0.593654633,0.958618859,0.15685065,0.740525343,0.18701485,0.999694537,myb domain protein 3r-4
Sevir.1G007300,0.711367942,0.958618859,-0.005178703,0.988625763,0.123260024,0.999694537,myb domain protein 3r-4
Sevir.1G007400,-1.416427867,NA,0.109146776,NA,-1.501032331,0.999694537,RNA polymerase subunit alpha
Sevir.1G007466,-0.688551604,NA,-0.753267871,NA,-0.89322839,0.999694537,Protein kinase superfamily protein
Sevir.1G007532,NA,NA,-0.826079138,NA,NA,NA,NA
Sevir.1G007600,2.52848825,NA,0.631839832,NA,-0.578156408,0.999694537,NA
Sevir.1G007700,0.093663731,0.993539052,0.236264579,0.714819206,-0.082931933,0.999694537,Subtilase family protein
Sevir.1G007733,-0.373698572,NA,3.715184288,NA,0.576755806,0.999694537,NA
Sevir.1G007766,0.911601237,NA,0.155004401,0.922530443,0.58084799,0.999694537,NA
Sevir.1G007800,-2.295702088,0.958618859,0.680438307,0.146725955,0.342705181,0.999694537,RHO guanyl-nucleotide exchange factor 11
Sevir.1G007900,1.738343955,0.958618859,-0.232356458,0.39056875,-0.485715221,0.999694537,F-box family protein with a domain of unknown function (DUF295)
