Gene,T1_fc,T1_padj,T2_fc,T2_padj,T3_fc,T3_padj,T4_fc,T4_padj,arabi-defline
Bradi0012s00100,-0.068380878,0.874428166,-0.987703238,1.45E-13,-0.561726278,0.02958502,-0.846135205,0.000152873,GTP binding Elongation factor Tu family protein
Bradi0012s00201,0.250577733,0.73812688,-0.012570691,0.971066126,0.019946281,0.968405974,-0.048544641,0.862881891,NA
Bradi0014s00100,NA,NA,-8.410963615,0.123946615,-9.573916235,NA,0.338980539,0.906266769,NB-ARC domain-containing disease resistance protein
Bradi1g00210,NA,NA,1.023657725,0.215640694,0.631786598,0.775076813,0.387815112,0.630476102,transducin family protein / WD-40 repeat family protein
Bradi1g00217,1.671584177,0.47908244,-1.275442408,0.089147972,-1.057482855,0.249865531,-0.621610239,0.457954944,NA
Bradi1g00219,-0.901637565,0.355226572,0.458848826,0.398465483,-0.810218714,0.25500774,0.181847499,0.628559122,SCARECROW-like 14
Bradi1g00222,0.129200736,0.941954972,-0.435673085,0.331320054,-0.162606283,0.841550588,-0.205361929,0.577433137,NA
Bradi1g00234,-0.186393434,0.857934171,-0.005090935,0.992387611,-0.636242293,0.202909101,0.331382233,0.182429134,NB-ARC domain-containing disease resistance protein
Bradi1g00247,0.156961891,0.942242511,0.06711418,0.935215797,-0.311528741,0.789634986,-0.967439527,0.000626892,selenium binding
Bradi1g00253,-0.073332758,0.979522992,-0.441558085,0.32098855,-0.489073789,0.644045455,-0.206932524,0.71743945,NA
Bradi1g00260,-0.418155888,0.44163792,-0.003589603,0.982322294,-0.179900805,0.781245286,-0.201525038,0.166875107,Leucine-rich repeat transmembrane protein kinase protein
Bradi1g00266,0.357845068,0.802184529,-0.24213198,0.507724417,-0.517706032,0.47145686,0.170352077,0.494042218,cysteine-rich RLK (RECEPTOR-like protein kinase) 26
Bradi1g00284,0.628100762,0.856224064,0.297030604,0.729264265,-1.723694496,0.002661781,0.605339138,0.088775217,LRR and NB-ARC domains-containing disease resistance protein
Bradi1g00291,0.274054106,0.80773057,-0.896121252,0.026763364,-0.151432841,0.908916126,0.049414362,0.926178689,NA
