Gene,T1_fc,T1_padj,T2_fc,T2_padj,T3_fc,T3_padj,T4_fc,T4_padj,arabi-defline
Bradi0012s00100,-0.201402883,0.723718217,-0.54155931,0.080472389,-0.455327747,0.93626336,-0.410971594,0.622757486,GTP binding Elongation factor Tu family protein
Bradi0012s00201,0.068505585,0.94224784,-0.24837187,0.4125102,0.112855518,0.995860336,-0.341203628,0.95553093,NA
Bradi0014s00100,NA,NA,NA,NA,6.719835885,0.993288321,0.713232318,0.999968509,NB-ARC domain-containing disease resistance protein
Bradi0135s00100,NA,NA,NA,NA,NA,NA,NA,NA,Pectin lyase-like superfamily protein
Bradi0180s00100,NA,NA,NA,NA,NA,NA,NA,NA,Pectin lyase-like superfamily protein
Bradi1g00200,NA,NA,NA,NA,NA,NA,NA,NA,glutathione S-transferase TAU 18
Bradi1g00210,1.293822028,0.680912763,0.794901134,NA,-0.683137522,0.995860336,-0.128407947,0.999968509,transducin family protein / WD-40 repeat family protein
Bradi1g00213,-1.503648129,NA,NA,NA,NA,NA,NA,NA,NA
Bradi1g00215,NA,NA,NA,NA,NA,NA,NA,NA,nucleotide binding;nucleic acid binding
Bradi1g00217,-0.392311917,0.8810988,-0.929566477,NA,0.151999425,0.995860336,-0.388119203,0.999968509,NA
Bradi1g00219,-0.175959445,0.823640137,-0.784499458,0.216297326,-0.266590183,0.995860336,-0.024242132,0.999968509,SCARECROW-like 14
Bradi1g00222,-0.476669958,0.505659403,-0.385964098,0.389930191,0.095564043,0.995860336,-0.164022223,0.999968509,NA
Bradi1g00234,-0.64373361,0.64709081,-0.005566578,0.991567036,-0.593517989,0.824416065,-0.110615249,0.999968509,NB-ARC domain-containing disease resistance protein
Bradi1g00247,0.070651931,0.950028392,0.406411187,0.062242253,-0.18814672,0.995860336,-0.148498018,0.999968509,selenium binding
Bradi1g00253,0.738503737,NA,0.119860478,NA,-0.380643573,0.995860336,-0.616304844,NA,NA
Bradi1g00260,-0.453566421,0.348393661,-0.470653835,0.157075902,-0.560758073,0.439200229,0.057790996,0.999968509,Leucine-rich repeat transmembrane protein kinase protein
Bradi1g00266,-0.018831661,0.986232743,-0.112724898,0.782585441,-0.038237945,0.995860336,0.098545042,0.999968509,cysteine-rich RLK (RECEPTOR-like protein kinase) 26
Bradi1g00272,-2.489777784,NA,-0.135568707,NA,NA,NA,NA,NA,MATE efflux family protein
Bradi1g00278,0.104089573,NA,0.230374793,NA,0.216496484,0.995860336,-0.237825368,NA,NB-ARC domain-containing disease resistance protein
Bradi1g00284,-0.398574745,0.371544772,-0.461416021,0.299599033,-0.398479039,0.995860336,0.294067502,0.999968509,LRR and NB-ARC domains-containing disease resistance protein
Bradi1g00287,-2.919840753,NA,0.538552805,NA,0.703897736,0.995860336,0.57552796,NA,NA
Bradi1g00291,0.124631389,0.926761966,-0.321508718,0.368351646,0.007462583,0.998231596,-0.065103563,0.999968509,NA
Bradi1g00300,-2.744014915,NA,1.343432007,NA,-1.910694881,0.995860336,-1.286186527,NA,phospholipase A 2A
Bradi1g00322,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradi1g00330,-0.570937075,0.522488095,-0.07532405,0.897131996,-0.939577508,0.822095322,-0.063532155,0.999968509,NA
Bradi1g00332,1.95372644,NA,-0.282795112,NA,-0.728415055,0.995860336,-1.135902689,NA,NA
Bradi1g00335,2.302955497,NA,-0.376507367,NA,-0.379370014,0.995860336,-0.394420701,NA,NA
Bradi1g00341,-0.020257758,0.98380118,0.337057303,0.281812077,0.489220491,0.892273966,-0.722170661,0.75461584,NA
Bradi1g00345,0.435529715,0.918502758,-0.15796473,NA,-0.218342556,0.995860336,1.154332394,0.888075928,NA
